Date,Event,Category,Expected_Price_Impact,Description
1990-08-02,Iraq invades Kuwait (Gulf War),Conflict,Increase,Iraq's invasion of Kuwait raised fears of major oil supply disruptions in the Middle East.
1997-07-02,Asian Financial Crisis,Economic Crisis,Decrease,Economic slowdown across Asia reduced global oil demand.
1998-12-10,OPEC Production Cuts,OPEC,Increase,OPEC agreed to reduce production to stabilize falling oil prices.
2001-09-11,September 11 Terrorist Attacks,Political Event,Decrease,Global uncertainty and reduced air travel temporarily weakened oil demand.
2003-03-20,Iraq War Begins,Conflict,Increase,Military conflict in Iraq increased concerns about supply interruptions.
2005-08-29,Hurricane Katrina,Natural Disaster,Increase,Storm damage disrupted oil production and refinery operations in the Gulf of Mexico.
2008-09-15,Global Financial Crisis,Economic Crisis,Decrease,Global recession sharply reduced oil demand and prices.
2010-12-17,Arab Spring Begins,Political Instability,Increase,Political unrest across North Africa and the Middle East increased supply uncertainty.
2011-02-17,Libyan Civil War,Conflict,Increase,Libya's oil production declined significantly due to civil war.
2014-11-27,OPEC Decides Not to Cut Production,OPEC,Decrease,OPEC maintained production despite falling prices, leading to a major market decline.
2016-11-30,OPEC+ Production Cut Agreement,OPEC,Increase,OPEC and partner countries agreed to coordinated production cuts.
2018-11-05,US Sanctions on Iran,Iran Sanctions,Increase,Sanctions reduced Iranian crude exports and tightened global supply.
2020-03-11,COVID-19 Declared Pandemic,Health Crisis,Decrease,Worldwide lockdowns caused an unprecedented collapse in oil demand.
2020-04-12,Historic OPEC+ Production Cut,OPEC,Increase,OPEC+ agreed to the largest coordinated production cut in history to stabilize markets.
2022-02-24,Russia Invades Ukraine,Conflict,Increase,The invasion raised concerns over disruptions to Russian oil exports and global energy supplies.
